2018-08-06T11:24:55.356Z - info: Website generation started at 19:24:55
2018-08-06T11:25:01.985Z - info: Building assets...
2018-08-06T11:25:29.727Z - info: Assets built
2018-08-06T11:25:29.727Z - info: Generating pages...
2018-08-06T11:26:24.489Z - info: Pages built
2018-08-06T11:26:25.361Z - info: Site data built
2018-08-06T11:26:25.361Z - info: Website generation complete! Total build time: 90.02s
2018-08-06T11:26:25.371Z - info: Generate Site durationMs=90030
2018-08-06T11:26:25.964Z - info: Serving "C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\_site" at http://127.0.0.1:8080
2018-08-06T11:26:25.964Z - info: Press CTRL+C to stop ...
2018-08-06T11:51:49.617Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\nTier\text.md
2018-08-06T11:51:49.617Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\nTier\what\text.md
2018-08-06T11:51:49.618Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\transactionProcessing\text.md
2018-08-06T11:51:49.618Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\transactionProcessing\what\text.md
2018-08-06T11:51:49.618Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\serviceOriented\text.md
2018-08-06T11:51:49.618Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\serviceOriented\what\text.md
2018-08-06T11:51:49.618Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\more\text.md
2018-08-06T11:51:49.619Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\more\moreStyles\text.md
2018-08-06T11:51:49.619Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architecturalStyles\more\usingStyles\text.md
2018-08-06T11:51:49.619Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architectureDiagrams\drawing\text.md
2018-08-06T11:51:49.619Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architectureDiagrams\path.md
2018-08-06T11:51:49.619Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\architectureDiagrams\reading\text.md
2018-08-06T11:51:49.619Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\text.md
2018-08-06T11:51:49.620Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\introduction\text.md
2018-08-06T11:51:49.620Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\architecture\introduction\what\text.md
2018-08-06T11:51:49.620Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\avoidShortcuts\basic\avoidEmptyCatchBlocks\text.md
2018-08-06T11:51:49.620Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\avoidShortcuts\basic\path.md
2018-08-06T11:51:49.620Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\combined\exercises.md
2018-08-06T11:51:49.621Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\avoidShortcuts\basic\deleteDeadCode\text.md
2018-08-06T11:51:49.621Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\avoidShortcuts\basic\dontRecycleVarsOrParams\text.md
2018-08-06T11:51:49.621Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\avoidShortcuts\basic\useDefaultBranch\text.md
2018-08-06T11:51:49.621Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\avoidShortcuts\path.md
2018-08-06T11:51:49.621Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\avoidShortcuts\introduction\text.md
2018-08-06T11:51:49.621Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\avoidShortcuts\intermediate\text.md
2018-08-06T11:51:49.622Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\avoidShortcuts\intermediate\minimiseVariableScope\text.md
2018-08-06T11:51:49.622Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\avoidShortcuts\intermediate\minimiseCodeDuplication\text.md
2018-08-06T11:51:49.622Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\principles\dryPrinciple\text.md
2018-08-06T11:51:49.622Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\principles\path.md
